name,year,rate
急先锋,2020,
狂怒沙暴,2020,
警察故事2020,2020,
极夜,2020,
上海正午3：上海破晓,2020,
曼哈顿,2020,
我的佣兵生涯,2020,
Jackie Chan: Down to Earth,2020,
狼旗,2020,
尖峰时刻4,2020,
十二生肖2,2020,
攀登者,2019,
龙牌之谜,2019,3.9
神探蒲松龄,2019,3.8
防弹特工,2019,
功夫梦2,2019,
北京·晚九朝五,2019,
解忧杂货店,2017,5.0
机器之血,2017,4.7
英伦对决,2017,7.0
功夫瑜伽,2017,5.0
铁道飞虎,2016,5.2
绝地逃亡,2016,5.6
卡皮尔夏尔玛脱口秀,2016,
救火英雄,2014,7.2
警察故事2013,2013,5.8
私人订制,2013,5.7
The Unbelievable,2013,
辛亥革命,2011,6.3
新少林寺,2011,5.9
功夫梦,2010,6.3
大兵小将,2010,6.8
邻家特工,2010,6.2
建国大业,2009,
寻找成龙,2009,3.8
新宿事件,2009,7.4
功夫之王,2008,5.5
尖峰时刻3,2007,6.6
宝贝计划,2006,7.3
神话,2005,6.5
新警察故事,2004,7.5
千机变Ⅱ花都大战,2004,5.3
环游地球八十天,2004,6.0
大佬爱美丽,2004,6.2
飞龙再生,2003,5.9
千机变,2003,5.8
上海正午2：上海骑士,2003,6.4
神奇燕尾服,2002,6.2
尖峰时刻2,2001,6.8
特务迷城,2001,6.5
特务迷城之2003,2001,
上海正午,2000,6.4
特警新人类,1999,6.3
喜剧之王,1999,8.7
玻璃樽,1999,6.4
尖峰时刻,1998,7.0
我是谁,1998,7.5
一个好人,1997,6.9
警察故事4：简单任务,1996,7.4
霹雳火,1995,6.8
红番区,1995,7.5
醉拳2,1994,7.6
超级计划,1993,6.9
重案组,1993,7.0
城市猎人,1993,7.5
马丁,1992,
警察故事3：超级警察,1992,7.5
双龙会,1992,7.4
西藏小子,1992,6.1
火烧岛,1991,6.7
飞鹰计划,1991,7.6
奇迹,1989,7.8
警察故事续集,1988,7.5
飞龙猛将,1988,7.3
A计划续集,1987,7.6
龙兄虎弟,1986,7.1
扭计杂牌军,1986,5.8
警察故事,1985,7.8
龙的心,1985,7.1
夏日福星,1985,7.3
威龙猛探,1985,6.2
福星高照,1985,7.3
快餐车,1984,7.6
炮弹飞车2,1984,5.7
神勇双响炮,1984,7.0
A计划,1983,7.9
火龙任务,1983,
奇谋妙计五福星,1983,7.7
龙腾虎跃,1983,6.1
迷你特工队,1982,5.3
龙少爷,1982,6.7
炮弹飞车,1981,5.6
杀手壕,1980,5.9
师弟出马,1980,6.9
龙拳,1979,6.3
笑拳怪招,1979,6.6
拳精,1978,6.4
醉拳,1978,7.5
一招半式闯江湖,1978,6.3
飞渡卷云山,1978,6.3
蛇鹤八步,1978,6.4
蛇形刁手,1978,7.0
剑花烟雨江南,1977,5.7
天下无敌,1976,
少林木人巷,1976,6.4
风雨双流星,1976,6.3
少林门,1976,6.1
新精武门,1976,6.2
密宗圣手,1976,6.2
拍案惊奇,1975,6.5
忠烈图,1975,8.0
花飞满城春,1975,6.3
金瓶双艳,1974,6.4
恶虎村,1974,5.8
广东小老虎,1973,6.0
四王一后,1973,
除霸,1973,
龙争虎斗,1973,8.2
红狼醒拳,1973,
铁娃,1973,5.6
女警察,1973,
北地胭脂,1973,7.3
埋伏,1973,6.1
码头大决斗,1973,
合气道,1972,5.9
荒江女侠,1970,5.8
龙门客栈,1967,8.1
两湖十八镖,1966,
大醉侠,1966,7.5
无敌神童方世玉,1965,
鱼美人,1965,7.6
秦香莲,1964,
小龙女三戏白蛇精,1963,
大小黄天霸,1962,
